nios2-terminal: connected to hardware target using JTAG UART on cable
nios2-terminal: "USB-Blaster [USB-0]", device 1, instance 0
nios2-terminal: (Use the IDE stop button or Ctrl-C to terminate)

lab mode is Interrupt
period, pulse_width, bg_tasks_run, avg_latency, missed, multi_pulses
2, 1, 0, 30, 51454, 0
4, 2, 0, 6, 31721, 3878
6, 3, 0, 8, 56317, 2100
8, 4, 0, 8, 64309, 0
10, 5, 0, 19, 31942, 0
12, 6, 0, 16, 7586, 0
14, 7, 0, 19, 54837, 0
16, 8, 0, 21, 41132, 0
18, 9, 0, 40, 29422, 0
20, 10, 0, 21, 20752, 0
22, 11, 0, 45, 11716, 0
24, 12, 0, 23, 6212, 0
26, 13, 0, 29, 1689, 0
28, 14, 0, 30, 61292, 0
30, 15, 0, 38, 57364, 0
32, 16, 0, 27, 54620, 0
34, 17, 0, 58, 50338, 0
36, 18, 0, 44, 48412, 0
38, 19, 0, 43, 44626, 0
40, 20, 0, 31, 42443, 0
42, 21, 0, 54, 40362, 0
44, 22, 0, 42, 38305, 0
46, 23, 0, 69, 36293, 0
48, 24, 0, 53, 33780, 0
50, 25, 0, 65, 33022, 0
52, 26, 0, 66, 31848, 0
54, 27, 0, 41, 29420, 0
56, 28, 0, 62, 28606, 0
58, 29, 0, 54, 27421, 0
60, 30, 0, 56, 26883, 0
62, 31, 0, 67, 25918, 0
64, 32, 0, 68, 24693, 0
66, 33, 1, 84, 23128, 0
68, 34, 121, 56, 22860, 0
70, 35, 14, 85, 21946, 0
72, 36, 0, 59, 21167, 0
74, 37, 42, 69, 20637, 0
76, 38, 150, 71, 19945, 0
78, 39, 22, 74, 19233, 0
80, 40, 76, 68, 18653, 0
82, 41, 64, 70, 18482, 0
84, 42, 20, 65, 17783, 0
86, 43, 175, 90, 17051, 0
88, 44, 411, 98, 16670, 0
90, 45, 620, 79, 16307, 0
92, 46, 240, 91, 15303, 0
94, 47, 167, 78, 15085, 0
96, 48, 90, 75, 14479, 0
98, 49, 120, 84, 14722, 0
100, 50, 320, 84, 14009, 0
102, 51, 508, 84, 13738, 0
104, 52, 211, 109, 13193, 0
106, 53, 410, 98, 12964, 0
108, 54, 110, 108, 12234, 0
110, 55, 167, 91, 12295, 0
112, 56, 35, 115, 11994, 0
114, 57, 65, 86, 11496, 0
116, 58, 235, 87, 11301, 0
118, 59, 396, 95, 11112, 0
120, 60, 568, 95, 10930, 0
122, 61, 723, 118, 14462, 0
124, 62, 881, 116, 12702, 0
126, 63, 1023, 136, 10590, 0
128, 64, 1156, 122, 10259, 0
130, 65, 1297, 124, 10102, 0
132, 66, 1429, 139, 9952, 0
134, 67, 1556, 123, 9805, 0
136, 68, 1659, 125, 9662, 0
138, 69, 1784, 125, 9525, 0
140, 70, 488, 117, 8100, 0
142, 71, 478, 120, 8151, 0
144, 72, 537, 105, 8222, 0
146, 73, 668, 114, 8110, 0
148, 74, 799, 132, 8544, 0
150, 75, 877, 135, 7899, 0
152, 76, 1038, 131, 7794, 0
154, 77, 1138, 134, 7693, 0
156, 78, 603, 156, 7055, 0
158, 79, 717, 155, 7113, 0
160, 80, 869, 150, 7056, 0
162, 81, 598, 137, 6740, 0
164, 82, 509, 150, 6535, 0
166, 83, 130, 135, 6026, 0
168, 84, 203, 160, 6057, 0
170, 85, 22, 151, 5815, 0
172, 86, 64, 118, 5749, 0
174, 87, 175, 135, 5683, 0
176, 88, 295, 136, 5619, 0
178, 89, 396, 135, 5557, 0
180, 90, 523, 134, 5496, 0
182, 91, 620, 136, 5436, 0
184, 92, 723, 120, 5378, 0
186, 93, 830, 134, 5320, 0
188, 94, 925, 118, 5265, 0
190, 95, 1024, 120, 5210, 0
192, 96, 1144, 135, 5156, 0
194, 97, 1213, 133, 5103, 0
196, 98, 1297, 118, 5052, 0
198, 99, 1387, 135, 5001, 0
200, 100, 1483, 118, 4952, 0
202, 101, 1556, 117, 4903, 0
204, 102, 1617, 135, 4855, 0
206, 103, 1715, 119, 4809, 0
208, 104, 1784, 117, 4763, 0
210, 105, 1885, 116, 4718, 0
212, 106, 1945, 118, 4674, 0
214, 107, 2023, 118, 4631, 0
216, 108, 2101, 133, 4588, 0
218, 109, 2166, 133, 4546, 0
220, 110, 2250, 118, 4506, 0
222, 111, 2313, 134, 4465, 0
224, 112, 2380, 115, 4426, 0
226, 113, 2465, 116, 4387, 0
228, 114, 2522, 118, 4350, 0
230, 115, 2584, 133, 4311, 0
232, 116, 2643, 115, 4275, 0
234, 117, 2722, 132, 4238, 0
236, 118, 2799, 117, 4203, 0
238, 119, 2839, 115, 4168, 0
240, 120, 2899, 132, 4133, 0
242, 121, 2978, 132, 4099, 0
244, 122, 3047, 134, 4066, 0
246, 123, 3099, 152, 5275, 0
248, 124, 3140, 161, 6426, 0
250, 125, 3209, 241, 6567, 0
252, 126, 3277, 246, 5834, 0
254, 127, 3311, 249, 4268, 0
256, 128, 3373, 251, 4002, 0
258, 129, 3431, 252, 3982, 0
260, 130, 3495, 254, 3817, 0
262, 131, 3561, 256, 3788, 0
264, 132, 3755, 256, 3759, 0
266, 133, 3728, 255, 3731, 0
268, 134, 3737, 257, 3704, 0
270, 135, 3774, 257, 3676, 0
272, 136, 3809, 259, 3650, 0
274, 137, 3846, 261, 3623, 0
276, 138, 3882, 262, 3597, 0
278, 139, 3926, 264, 3571, 0
280, 140, 2220, 211, 2222, 0
282, 141, 1935, 207, 1956, 0
284, 142, 1917, 219, 3159, 0
286, 143, 2010, 174, 2249, 0
288, 144, 2070, 206, 2235, 0
290, 145, 2167, 195, 2283, 0
292, 146, 2265, 193, 2268, 0
294, 147, 2291, 192, 2253, 0
296, 148, 2332, 254, 4028, 0
298, 149, 2374, 279, 3437, 0
300, 150, 2426, 279, 2214, 0
302, 151, 2484, 278, 2196, 0
304, 152, 2544, 279, 2180, 0
306, 153, 2595, 278, 2165, 0
308, 154, 2650, 278, 2151, 0
310, 155, 2701, 278, 2138, 0
312, 156, 1605, 268, 1280, 0
314, 157, 1592, 272, 1294, 0
316, 158, 1841, 285, 1522, 0
318, 159, 1960, 284, 1564, 0
320, 160, 2018, 282, 1554, 0
322, 161, 2056, 284, 1544, 0
324, 162, 717, 264, 540, 0
326, 163, 1622, 284, 1219, 0
328, 164, 844, 275, 605, 0
330, 165, 1272, 286, 935, 0
332, 166, 937, 285, 678, 0
334, 167, 875, 279, 626, 0
336, 168, 349, 270, 225, 0
338, 169, 428, 278, 287, 0
340, 170, 36, 269, 3, 0
342, 171, 22, 269, 3, 0
344, 172, 1, 312, 2, 0
346, 173, 65, 254, 2, 0
348, 174, 122, 254, 2, 0
350, 175, 175, 254, 2, 0
352, 176, 236, 254, 2, 0
354, 177, 296, 254, 2, 0
356, 178, 349, 254, 2, 0
358, 179, 412, 254, 2, 0
360, 180, 480, 254, 2, 0
362, 181, 523, 254, 2, 0
364, 182, 569, 254, 2, 0
366, 183, 621, 254, 2, 0
368, 184, 676, 254, 2, 0
370, 185, 722, 254, 1, 0
372, 186, 792, 254, 2, 0
374, 187, 830, 254, 1, 0
376, 188, 882, 254, 2, 0
378, 189, 925, 254, 2, 0
380, 190, 973, 254, 3, 0
382, 191, 1024, 254, 2, 0
384, 192, 1079, 254, 2, 0
386, 193, 1145, 254, 2, 0
388, 194, 1158, 254, 2, 0
390, 195, 1213, 254, 1, 0
392, 196, 1258, 254, 1, 0
394, 197, 1298, 254, 2, 0
396, 198, 1338, 254, 1, 0
398, 199, 1387, 254, 1, 0
400, 200, 1429, 254, 1, 0
402, 201, 1483, 254, 1, 0
404, 202, 1514, 254, 1, 0
406, 203, 1556, 254, 1, 0
408, 204, 1624, 254, 1, 0
410, 205, 1617, 254, 1, 0
412, 206, 1659, 254, 1, 0
414, 207, 1715, 254, 1, 0
416, 208, 1757, 254, 1, 0
418, 209, 1784, 254, 1, 0
420, 210, 1841, 254, 1, 0
422, 211, 1885, 254, 1, 0
424, 212, 1900, 254, 1, 0
426, 213, 1945, 254, 1, 0
428, 214, 1991, 254, 1, 0
430, 215, 2023, 254, 1, 0
432, 216, 2046, 254, 1, 0
434, 217, 2095, 254, 1, 0
436, 218, 2138, 254, 1, 0
438, 219, 2172, 254, 1, 0
440, 220, 2259, 254, 1, 0
442, 221, 2250, 254, 1, 0
444, 222, 2288, 254, 1, 0
446, 223, 2313, 254, 1, 0
448, 224, 2351, 254, 1, 0
450, 225, 2380, 254, 1, 0
452, 226, 2421, 254, 1, 0
454, 227, 2465, 254, 1, 0
456, 228, 2493, 254, 1, 0
458, 229, 2519, 254, 1, 0
460, 230, 2595, 254, 1, 0
462, 231, 2584, 254, 1, 0
464, 232, 2610, 254, 1, 0
466, 233, 2668, 254, 1, 0
468, 234, 2692, 254, 1, 0
470, 235, 2722, 254, 1, 0
472, 236, 2762, 254, 1, 0
474, 237, 2799, 254, 1, 0
476, 238, 2788, 254, 1, 0
478, 239, 2838, 254, 1, 0
480, 240, 2870, 254, 1, 0
482, 241, 2899, 254, 1, 0
484, 242, 2937, 254, 1, 0
486, 243, 2978, 254, 1, 0
488, 244, 3015, 254, 1, 0
490, 245, 3047, 254, 1, 0
492, 246, 3065, 254, 1, 0
494, 247, 3099, 254, 1, 0
496, 248, 3113, 254, 1, 0
498, 249, 3141, 254, 1, 0
500, 250, 3185, 254, 1, 0
502, 251, 3210, 254, 1, 0
504, 252, 3231, 254, 1, 0
506, 253, 3279, 254, 1, 0
508, 254, 3294, 254, 1, 0
510, 255, 3346, 254, 1, 0
512, 256, 3333, 254, 1, 0
514, 257, 3389, 254, 1, 0
516, 258, 3428, 254, 1, 0
518, 259, 3432, 254, 1, 0
520, 260, 3464, 254, 1, 0
522, 261, 3496, 254, 1, 0
524, 262, 3528, 254, 1, 0
526, 263, 3563, 254, 1, 0
528, 264, 3582, 254, 1, 0
530, 265, 3756, 254, 1, 0
532, 266, 3663, 254, 1, 0
534, 267, 3729, 254, 1, 0
536, 268, 3716, 254, 1, 0
538, 269, 3738, 254, 1, 0
540, 270, 3755, 254, 1, 0
542, 271, 3775, 254, 1, 0
544, 272, 3789, 254, 1, 0
546, 273, 3809, 254, 1, 0
548, 274, 3830, 254, 1, 0
550, 275, 3834, 254, 1, 0
552, 276, 3857, 254, 1, 0
554, 277, 3883, 254, 1, 0
556, 278, 3908, 254, 1, 0
558, 279, 3926, 254, 1, 0
560, 280, 3951, 254, 1, 0
562, 281, 3987, 254, 1, 0
564, 282, 4002, 254, 1, 0
566, 283, 4022, 254, 1, 0
568, 284, 4046, 254, 1, 0
570, 285, 4077, 254, 1, 0
572, 286, 4115, 254, 1, 0
574, 287, 4131, 254, 1, 0
576, 288, 4150, 254, 1, 0
578, 289, 4184, 254, 1, 0
580, 290, 4198, 254, 1, 0
582, 291, 4223, 254, 1, 0
584, 292, 4251, 254, 1, 0
586, 293, 4265, 254, 1, 0
588, 294, 4285, 254, 1, 0
590, 295, 4297, 254, 1, 0
592, 296, 4327, 254, 1, 0
594, 297, 4360, 254, 1, 0
596, 298, 4371, 254, 1, 0
598, 299, 4388, 254, 1, 0
600, 300, 4427, 254, 1, 0
602, 301, 4413, 254, 1, 0
604, 302, 4442, 254, 1, 0
606, 303, 4475, 254, 1, 0
608, 304, 4494, 254, 1, 0
610, 305, 4511, 254, 1, 0
612, 306, 4530, 254, 1, 0
614, 307, 4543, 254, 1, 0
616, 308, 4562, 254, 1, 0
618, 309, 4585, 254, 1, 0
620, 310, 4606, 254, 1, 0
622, 311, 4627, 254, 1, 0
624, 312, 4645, 254, 1, 0
626, 313, 4668, 254, 1, 0
628, 314, 4680, 254, 1, 0
630, 315, 4705, 254, 1, 0
632, 316, 4729, 254, 1, 0
634, 317, 4743, 254, 1, 0
636, 318, 4758, 254, 1, 0
638, 319, 4772, 254, 1, 0
640, 320, 4790, 254, 1, 0
642, 321, 4811, 254, 1, 0
644, 322, 4823, 254, 1, 0
646, 323, 4847, 254, 1, 0
648, 324, 4861, 254, 1, 0
650, 325, 4877, 254, 1, 0
652, 326, 4891, 254, 1, 0
654, 327, 4910, 254, 1, 0
656, 328, 4936, 254, 1, 0
658, 329, 4945, 254, 1, 0
660, 330, 4961, 254, 1, 0
662, 331, 4983, 254, 1, 0
664, 332, 5003, 254, 1, 0
666, 333, 4988, 254, 1, 0
668, 334, 5018, 254, 1, 0
670, 335, 5044, 254, 1, 0
672, 336, 5059, 254, 1, 0
674, 337, 5080, 254, 1, 0
676, 338, 5093, 254, 1, 0
678, 339, 5106, 254, 2, 0
680, 340, 5129, 254, 1, 0
682, 341, 5149, 254, 1, 0
684, 342, 5155, 254, 1, 0
686, 343, 5172, 254, 1, 0
688, 344, 5184, 254, 1, 0
690, 345, 5200, 254, 1, 0
692, 346, 5221, 254, 1, 0
694, 347, 5231, 254, 1, 0
696, 348, 5244, 254, 1, 0
698, 349, 5261, 254, 1, 0
700, 350, 5289, 254, 1, 0
702, 351, 5292, 254, 1, 0
704, 352, 5309, 254, 1, 0
706, 353, 5321, 254, 1, 0
708, 354, 5333, 254, 1, 0
710, 355, 5348, 254, 1, 0
712, 356, 5362, 254, 1, 0
714, 357, 5377, 254, 1, 0
716, 358, 5394, 254, 1, 0
718, 359, 5407, 254, 1, 0
720, 360, 5422, 254, 1, 0
722, 361, 5441, 254, 1, 0
724, 362, 5467, 254, 1, 0
726, 363, 5492, 254, 1, 0
728, 364, 5478, 254, 1, 0
730, 365, 5507, 254, 1, 0
732, 366, 5513, 254, 1, 0
734, 367, 5520, 254, 1, 0
736, 368, 5531, 254, 1, 0
738, 369, 5538, 254, 1, 0
740, 370, 5547, 254, 1, 0
742, 371, 5566, 254, 1, 0
744, 372, 5580, 254, 1, 0
746, 373, 5587, 254, 0, 0
748, 374, 5602, 254, 0, 0
750, 375, 5617, 254, 0, 0
752, 376, 5632, 254, 0, 0
754, 377, 5647, 254, 0, 0
756, 378, 5649, 254, 0, 0
758, 379, 5668, 254, 0, 0
760, 380, 5682, 254, 0, 0
762, 381, 5693, 254, 0, 0
764, 382, 5707, 254, 0, 0
766, 383, 5725, 254, 0, 0
768, 384, 5729, 254, 0, 0
770, 385, 5744, 254, 0, 0
772, 386, 5760, 254, 0, 0
774, 387, 5769, 254, 0, 0
776, 388, 5780, 254, 0, 0
778, 389, 5793, 254, 0, 0
780, 390, 5808, 254, 0, 0
782, 391, 5818, 254, 0, 0
784, 392, 5833, 254, 0, 0
786, 393, 5842, 254, 0, 0
788, 394, 5850, 254, 0, 0
790, 395, 5887, 254, 0, 0
