nios2-terminal: connected to hardware target using JTAG UART on cable,,,,,
"nios2-terminal: ""USB-Blaster [USB-0]""", device 1, instance 0,,,
nios2-terminal: (Use the IDE stop button or Ctrl-C to terminate),,,,,
,,,,,
[INFO] lab mode is Interrupt,,,,,
[INFO] period, pulse_width, bg_tasks_run, avg_latency, missed, multi_pulses
[INFO] 2,1,0,4,51455,0
[INFO] 4,2,0,6,31720,7749
[INFO] 6,3,0,8,56319,2100
[INFO] 8,4,0,11,64313,0
[INFO] 10,5,0,22,30731,0
[INFO] 12,6,0,10,7583,0
[INFO] 14,7,0,14,57147,0
[INFO] 16,8,0,15,41132,0
[INFO] 18,9,0,15,29423,0
[INFO] 20,10,0,27,20752,0
[INFO] 22,11,0,39,11716,0
[INFO] 24,12,0,30,6213,0
[INFO] 26,13,0,23,1690,0
[INFO] 28,14,0,34,61288,0
[INFO] 30,15,0,33,57366,0
[INFO] 32,16,0,51,54620,0
[INFO] 34,17,0,40,50709,0
[INFO] 36,18,0,57,48415,0
[INFO] 38,19,0,61,45163,0
[INFO] 40,20,0,33,42446,0
[INFO] 42,21,0,40,40360,0
[INFO] 44,22,0,45,38303,0
[INFO] 46,23,0,50,36292,0
[INFO] 48,24,0,37,33779,0
[INFO] 50,25,0,38,33020,0
[INFO] 52,26,0,49,31613,0
[INFO] 54,27,0,54,29416,0
[INFO] 56,28,0,51,28613,0
[INFO] 58,29,0,61,27421,0
[INFO] 60,30,0,78,26882,0
[INFO] 62,31,0,53,25916,0
[INFO] 64,32,0,72,24693,0
[INFO] 66,33,0,68,23111,0
[INFO] 68,34,121,57,22858,0
[INFO] 70,35,14,69,21944,0
[INFO] 72,36,0,63,21167,0
[INFO] 74,37,42,82,20634,0
[INFO] 76,38,150,70,19944,0
[INFO] 78,39,22,88,19231,0
[INFO] 80,40,76,73,18652,0
[INFO] 82,41,64,62,18540,0
[INFO] 84,42,20,75,17774,0
[INFO] 86,43,174,90,17049,0
[INFO] 88,44,397,98,16669,0
[INFO] 90,45,620,89,16306,0
[INFO] 92,46,240,80,15303,0
[INFO] 94,47,167,78,15086,0
[INFO] 96,48,90,76,14477,0
[INFO] 98,49,120,96,14723,0
[INFO] 100,50,319,87,14009,0
[INFO] 102,51,508,85,13736,0
[INFO] 104,52,204,109,13167,0
[INFO] 106,53,411,110,12963,0
[INFO] 108,54,110,83,12234,0
[INFO] 110,55,167,96,12298,0
