nios2-terminal: connected to hardware target using JTAG UART on cable
nios2-terminal: "USB-Blaster [USB-0]", device 1, instance 0
nios2-terminal: (Use the IDE stop button or Ctrl-C to terminate)

lab mode is Polling
period, pulse_width, bg_tasks_run, avg_latency, missed, multi_pulses
2, 1, 0, 1979, 185, 0
4, 2, 0, 1979, 185, 0
6, 3, 0, 1979, 185, 0
8, 4, 0, 1979, 185, 0
10, 5, 0, 1979, 185, 0
12, 6, 0, 1979, 185, 0
14, 7, 0, 1979, 185, 0
16, 8, 0, 1979, 185, 0
18, 9, 0, 1979, 185, 0
20, 10, 0, 1979, 185, 0
22, 11, 0, 1979, 185, 0
24, 12, 0, 1979, 185, 0
26, 13, 0, 1979, 185, 0
28, 14, 0, 1979, 185, 0
30, 15, 0, 1979, 185, 0
32, 16, 0, 1979, 185, 0
34, 17, 0, 1979, 185, 0
36, 18, 0, 1979, 185, 0
38, 19, 0, 1979, 185, 0
40, 20, 0, 1979, 185, 0
42, 21, 0, 1979, 185, 0
44, 22, 0, 1979, 185, 0
46, 23, 0, 1979, 185, 0
48, 24, 0, 1979, 185, 0
50, 25, 0, 1979, 185, 0
52, 26, 0, 1979, 185, 0
54, 27, 0, 1979, 185, 0
56, 28, 0, 1979, 185, 0
58, 29, 0, 1979, 185, 0
60, 30, 0, 1979, 185, 0
62, 31, 0, 1979, 185, 0
64, 32, 0, 1979, 185, 0
66, 33, 0, 1979, 185, 0
68, 34, 0, 1979, 185, 0
70, 35, 0, 1979, 185, 0
72, 36, 0, 1979, 185, 0
74, 37, 0, 1979, 185, 0
76, 38, 0, 1979, 185, 0
78, 39, 0, 1979, 185, 0
80, 40, 0, 1979, 185, 0
82, 41, 0, 1979, 185, 0
84, 42, 0, 1979, 185, 0
86, 43, 0, 1979, 185, 0
88, 44, 0, 1979, 185, 0
90, 45, 0, 1979, 185, 0
92, 46, 0, 1979, 185, 0
94, 47, 0, 1979, 185, 0
96, 48, 0, 1979, 185, 0
98, 49, 0, 1979, 185, 0
100, 50, 0, 1979, 185, 0
102, 51, 0, 1979, 185, 0
104, 52, 0, 1979, 185, 0
106, 53, 0, 1979, 185, 0
108, 54, 0, 1979, 185, 0
110, 55, 0, 1979, 185, 0
112, 56, 0, 1979, 185, 0
114, 57, 0, 1979, 185, 0
116, 58, 0, 1979, 185, 0
118, 59, 0, 1979, 185, 0
120, 60, 0, 1979, 185, 0
122, 61, 0, 1979, 185, 0
124, 62, 0, 1979, 185, 0
126, 63, 0, 1979, 185, 0
128, 64, 0, 1979, 185, 0
130, 65, 0, 1979, 185, 0
132, 66, 0, 1979, 185, 0
134, 67, 0, 1979, 185, 0
136, 68, 0, 1979, 185, 0
138, 69, 0, 1979, 185, 0
140, 70, 0, 1979, 185, 0
142, 71, 0, 1979, 185, 0
144, 72, 0, 1979, 185, 0
146, 73, 0, 1979, 185, 0
148, 74, 0, 1979, 185, 0
150, 75, 0, 1979, 185, 0
152, 76, 0, 1979, 185, 0
154, 77, 0, 1979, 185, 0
156, 78, 0, 1979, 185, 0
158, 79, 0, 1979, 185, 0
160, 80, 0, 1979, 185, 0
162, 81, 0, 1979, 185, 0
164, 82, 0, 1979, 185, 0
166, 83, 0, 1979, 185, 0
168, 84, 0, 1979, 185, 0
170, 85, 0, 1979, 185, 0
172, 86, 0, 1979, 185, 0
174, 87, 0, 1979, 185, 0
176, 88, 0, 1979, 185, 0
178, 89, 0, 1979, 185, 0
180, 90, 0, 1979, 185, 0
182, 91, 0, 1979, 185, 0
184, 92, 0, 1979, 185, 0
186, 93, 0, 1979, 185, 0
188, 94, 0, 1979, 185, 0
190, 95, 0, 1979, 185, 0
192, 96, 0, 1979, 185, 0
194, 97, 0, 1979, 185, 0
196, 98, 0, 1979, 185, 0
198, 99, 0, 1979, 185, 0
200, 100, 0, 1979, 185, 0
202, 101, 0, 1979, 185, 0
204, 102, 0, 1979, 185, 0
206, 103, 0, 1979, 185, 0
208, 104, 0, 1979, 185, 0
210, 105, 0, 1979, 185, 0
212, 106, 0, 1979, 185, 0
214, 107, 0, 1979, 185, 0
216, 108, 0, 1979, 185, 0
218, 109, 0, 1979, 185, 0
220, 110, 0, 1979, 185, 0
222, 111, 0, 1979, 185, 0
224, 112, 0, 1979, 185, 0
226, 113, 0, 1979, 185, 0
228, 114, 0, 1979, 185, 0
230, 115, 0, 1979, 185, 0
232, 116, 0, 1979, 185, 0
234, 117, 0, 1979, 185, 0
236, 118, 0, 1979, 185, 0
238, 119, 0, 1979, 185, 0
240, 120, 0, 1979, 185, 0
242, 121, 0, 1979, 185, 0
244, 122, 0, 1979, 185, 0
246, 123, 0, 1979, 185, 0
248, 124, 0, 1979, 185, 0
250, 125, 0, 1979, 185, 0
252, 126, 0, 1979, 185, 0
254, 127, 0, 1979, 185, 0
256, 128, 0, 1979, 185, 0
258, 129, 0, 1979, 185, 0
260, 130, 0, 1979, 185, 0
262, 131, 0, 1979, 185, 0
264, 132, 0, 1979, 185, 0
266, 133, 0, 1979, 185, 0
268, 134, 0, 1979, 185, 0
270, 135, 0, 1979, 185, 0
272, 136, 0, 1979, 185, 0
274, 137, 0, 1979, 185, 0
276, 138, 0, 1979, 185, 0
278, 139, 0, 1979, 185, 0
280, 140, 0, 1979, 185, 0
282, 141, 0, 1979, 185, 0
284, 142, 0, 1979, 185, 0
286, 143, 0, 1979, 185, 0
288, 144, 0, 1979, 185, 0
290, 145, 0, 1979, 185, 0
292, 146, 0, 1979, 185, 0
294, 147, 0, 1979, 185, 0
296, 148, 0, 1979, 185, 0
298, 149, 0, 1979, 185, 0
300, 150, 0, 1979, 185, 0
302, 151, 0, 1979, 185, 0
304, 152, 0, 1979, 185, 0
306, 153, 0, 1979, 185, 0
308, 154, 0, 1979, 185, 0
310, 155, 0, 1979, 185, 0
312, 156, 0, 1979, 185, 0
314, 157, 0, 1979, 185, 0
316, 158, 0, 1979, 185, 0
318, 159, 0, 1979, 185, 0
320, 160, 0, 1979, 185, 0
322, 161, 0, 1979, 185, 0
324, 162, 0, 1979, 185, 0
326, 163, 0, 1979, 185, 0
328, 164, 0, 1979, 185, 0
330, 165, 0, 1979, 185, 0
332, 166, 0, 1979, 185, 0
334, 167, 0, 1979, 185, 0
336, 168, 0, 1979, 185, 0
338, 169, 0, 1979, 185, 0
340, 170, 0, 1979, 185, 0
342, 171, 0, 1979, 185, 0
344, 172, 0, 1979, 185, 0
346, 173, 0, 1979, 185, 0
348, 174, 0, 1979, 185, 0
350, 175, 0, 1979, 185, 0
352, 176, 0, 1979, 185, 0
354, 177, 0, 1979, 185, 0
356, 178, 0, 1979, 185, 0
358, 179, 0, 1979, 185, 0
360, 180, 0, 1979, 185, 0
362, 181, 0, 1979, 185, 0
364, 182, 0, 1979, 185, 0
366, 183, 0, 1979, 185, 0
368, 184, 0, 1979, 185, 0
370, 185, 0, 1979, 185, 0
372, 186, 0, 1979, 185, 0
374, 187, 0, 1979, 185, 0
376, 188, 0, 1979, 185, 0
378, 189, 0, 1979, 185, 0
380, 190, 0, 1979, 185, 0
382, 191, 0, 1979, 185, 0
384, 192, 0, 1979, 185, 0
386, 193, 0, 1979, 185, 0
388, 194, 0, 1979, 185, 0
390, 195, 0, 1979, 185, 0
392, 196, 0, 1979, 185, 0
394, 197, 0, 1979, 185, 0
396, 198, 0, 1979, 185, 0
398, 199, 0, 1979, 185, 0
400, 200, 0, 1979, 185, 0
402, 201, 0, 1979, 185, 0
404, 202, 0, 1979, 185, 0
406, 203, 0, 1979, 185, 0
408, 204, 0, 1979, 185, 0
410, 205, 0, 1979, 185, 0
412, 206, 0, 1979, 185, 0
414, 207, 0, 1979, 185, 0
416, 208, 0, 1979, 185, 0
418, 209, 0, 1979, 185, 0
420, 210, 0, 1979, 185, 0
422, 211, 0, 1979, 185, 0
424, 212, 0, 1979, 185, 0
426, 213, 0, 1979, 185, 0
428, 214, 0, 1979, 185, 0
430, 215, 0, 1979, 185, 0
432, 216, 0, 1979, 185, 0
434, 217, 0, 1979, 185, 0
436, 218, 0, 1979, 185, 0
438, 219, 0, 1979, 185, 0
440, 220, 0, 1979, 185, 0
442, 221, 0, 1979, 185, 0
444, 222, 0, 1979, 185, 0
446, 223, 0, 1979, 185, 0
448, 224, 0, 1979, 185, 0
450, 225, 0, 1979, 185, 0
452, 226, 0, 1979, 185, 0
454, 227, 0, 1979, 185, 0
456, 228, 0, 1979, 185, 0
458, 229, 0, 1979, 185, 0
460, 230, 0, 1979, 185, 0
462, 231, 0, 1979, 185, 0
464, 232, 0, 1979, 185, 0
466, 233, 0, 1979, 185, 0
468, 234, 0, 1979, 185, 0
470, 235, 0, 1979, 185, 0
472, 236, 0, 1979, 185, 0
474, 237, 0, 1979, 185, 0
476, 238, 0, 1979, 185, 0
478, 239, 0, 1979, 185, 0
480, 240, 0, 1979, 185, 0
482, 241, 0, 1979, 185, 0
484, 242, 0, 1979, 185, 0
486, 243, 0, 1979, 185, 0
488, 244, 0, 1979, 185, 0
490, 245, 0, 1979, 185, 0
492, 246, 0, 1979, 185, 0
494, 247, 0, 1979, 185, 0
496, 248, 0, 1979, 185, 0
498, 249, 0, 1979, 185, 0
500, 250, 0, 1979, 185, 0
502, 251, 0, 1979, 185, 0
504, 252, 0, 1979, 185, 0
506, 253, 0, 1979, 185, 0
508, 254, 0, 1979, 185, 0
510, 255, 0, 1979, 185, 0
512, 256, 0, 1979, 185, 0
514, 257, 0, 1979, 185, 0
516, 258, 0, 1979, 185, 0
518, 259, 0, 1979, 185, 0
520, 260, 0, 1979, 185, 0
522, 261, 0, 1979, 185, 0
524, 262, 0, 1979, 185, 0
526, 263, 0, 1979, 185, 0
528, 264, 0, 1979, 185, 0
530, 265, 0, 1979, 185, 0
532, 266, 0, 1979, 185, 0
534, 267, 0, 1979, 185, 0
536, 268, 0, 1979, 185, 0
538, 269, 0, 1979, 185, 0
540, 270, 0, 1979, 185, 0
542, 271, 0, 1979, 185, 0
544, 272, 0, 1979, 185, 0
546, 273, 0, 1979, 185, 0
548, 274, 0, 1979, 185, 0
550, 275, 0, 1979, 185, 0
552, 276, 0, 1979, 185, 0
554, 277, 0, 1979, 185, 0
556, 278, 0, 1979, 185, 0
558, 279, 0, 1979, 185, 0
560, 280, 0, 1979, 185, 0
562, 281, 0, 1979, 185, 0
564, 282, 0, 1979, 185, 0
566, 283, 0, 1979, 185, 0
568, 284, 0, 1979, 185, 0
570, 285, 0, 1979, 185, 0
572, 286, 0, 1979, 185, 0
574, 287, 0, 1979, 185, 0
576, 288, 0, 1979, 185, 0
578, 289, 0, 1979, 185, 0
580, 290, 0, 1979, 185, 0
582, 291, 0, 1979, 185, 0
584, 292, 0, 1979, 185, 0
586, 293, 0, 1979, 185, 0
588, 294, 0, 1979, 185, 0
590, 295, 0, 1979, 185, 0
592, 296, 0, 1979, 185, 0
594, 297, 0, 1979, 185, 0
596, 298, 0, 1979, 185, 0
598, 299, 0, 1979, 185, 0
600, 300, 0, 1979, 185, 0
602, 301, 0, 1979, 185, 0
604, 302, 0, 1979, 185, 0
606, 303, 0, 1979, 185, 0
608, 304, 0, 1979, 185, 0
610, 305, 0, 1979, 185, 0
612, 306, 0, 1979, 185, 0
614, 307, 0, 1979, 185, 0
616, 308, 0, 1979, 185, 0
618, 309, 0, 1979, 185, 0
620, 310, 0, 1979, 185, 0
622, 311, 0, 1979, 185, 0
624, 312, 0, 1979, 185, 0
626, 313, 0, 1979, 185, 0
628, 314, 0, 1979, 185, 0
630, 315, 0, 1979, 185, 0
632, 316, 0, 1979, 185, 0
634, 317, 0, 1979, 185, 0
636, 318, 0, 1979, 185, 0
638, 319, 0, 1979, 185, 0
640, 320, 0, 1979, 185, 0
642, 321, 0, 1979, 185, 0
644, 322, 0, 1979, 185, 0
646, 323, 0, 1979, 185, 0
648, 324, 0, 1979, 185, 0
650, 325, 0, 1979, 185, 0
652, 326, 0, 1979, 185, 0
654, 327, 0, 1979, 185, 0
656, 328, 0, 1979, 185, 0
658, 329, 0, 1979, 185, 0
660, 330, 0, 1979, 185, 0
662, 331, 0, 1979, 185, 0
664, 332, 0, 1979, 185, 0
666, 333, 0, 1979, 185, 0
668, 334, 0, 1979, 185, 0
670, 335, 0, 1979, 185, 0
672, 336, 0, 1979, 185, 0
674, 337, 0, 1979, 185, 0
676, 338, 0, 1979, 185, 0
678, 339, 0, 1979, 185, 0
680, 340, 0, 1979, 185, 0
682, 341, 0, 1979, 185, 0
684, 342, 0, 1979, 185, 0
686, 343, 0, 1979, 185, 0
688, 344, 0, 1979, 185, 0
690, 345, 0, 1979, 185, 0
692, 346, 0, 1979, 185, 0
694, 347, 0, 1979, 185, 0
696, 348, 0, 1979, 185, 0
698, 349, 0, 1979, 185, 0
700, 350, 5698, 33, 1, 0
702, 351, 5682, 32, 1, 1
704, 352, 5666, 33, 1, 1
706, 353, 5650, 33, 1, 1
708, 354, 5634, 32, 1, 1
710, 355, 5618, 33, 1, 1
712, 356, 5602, 32, 1, 0
714, 357, 5586, 34, 1, 0
716, 358, 5570, 28, 1, 0
718, 359, 5556, 31, 1, 1
720, 360, 5540, 33, 1, 0
722, 361, 5524, 32, 1, 0
724, 362, 5510, 33, 1, 1
726, 363, 5494, 32, 1, 0
728, 364, 5480, 33, 1, 1
730, 365, 5464, 33, 1, 0
732, 366, 5450, 33, 1, 1
734, 367, 5434, 32, 1, 0
736, 368, 5420, 33, 1, 0
738, 369, 5406, 32, 1, 1
740, 370, 5390, 33, 1, 0
742, 371, 5376, 29, 1, 0
744, 372, 5362, 31, 1, 1
746, 373, 5348, 32, 1, 1
748, 374, 5334, 31, 1, 1
750, 375, 5318, 33, 1, 0
752, 376, 5304, 32, 1, 0
754, 377, 5290, 32, 1, 0
756, 378, 5276, 33, 1, 0
758, 379, 5264, 33, 1, 1
760, 380, 5250, 32, 1, 1
762, 381, 5236, 33, 1, 1
764, 382, 5222, 32, 1, 1
766, 383, 5208, 35, 1, 0
768, 384, 5194, 35, 1, 0
770, 385, 5182, 32, 1, 1
772, 386, 5168, 34, 1, 1
774, 387, 5154, 32, 1, 0
776, 388, 5142, 34, 1, 1
778, 389, 5128, 32, 1, 0
780, 390, 5114, 38, 1, 0
782, 391, 5102, 33, 1, 0
784, 392, 5088, 33, 1, 0
786, 393, 5076, 32, 1, 0
788, 394, 5064, 34, 1, 1
790, 395, 5050, 33, 1, 0
792, 396, 5038, 33, 1, 1
794, 397, 5026, 31, 1, 1
796, 398, 5012, 31, 1, 0
798, 399, 5000, 34, 1, 0
800, 400, 4988, 32, 1, 1
802, 401, 4976, 34, 1, 1
804, 402, 4962, 34, 1, 0
806, 403, 4950, 35, 1, 0
808, 404, 4938, 28, 1, 0
810, 405, 4926, 33, 1, 0
812, 406, 4914, 32, 1, 0
814, 407, 4902, 33, 1, 1
816, 408, 4890, 32, 1, 1
818, 409, 4878, 33, 1, 0
820, 410, 4866, 39, 1, 0
822, 411, 4854, 32, 1, 0
824, 412, 4842, 34, 1, 0
826, 413, 4830, 32, 1, 0
